created_at,new_repos,12-month rolling average
2008-12,2,
2009-01,1,
2009-02,1,
2009-03,2,
2009-04,3,
2009-05,0,
2009-06,2,
2009-07,3,
2009-08,2,
2009-09,2,
2009-10,1,
2009-11,2,1.75
2009-12,2,1.75
2010-01,4,2.0
2010-02,4,2.25
2010-03,3,2.3333333333333335
2010-04,5,2.5
2010-05,4,2.8333333333333335
2010-06,17,4.083333333333333
2010-07,12,4.833333333333333
2010-08,3,4.916666666666667
2010-09,9,5.5
2010-10,15,6.666666666666667
2010-11,15,7.75
2010-12,5,8.0
2011-01,13,8.75
2011-02,13,9.5
2011-03,14,10.416666666666666
2011-04,14,11.166666666666666
2011-05,12,11.833333333333334
2011-06,15,11.666666666666666
2011-07,13,11.75
2011-08,17,12.916666666666666
2011-09,16,13.5
2011-10,18,13.75
2011-11,8,13.166666666666666
2011-12,23,14.666666666666666
2012-01,11,14.5
2012-02,10,14.25
2012-03,18,14.583333333333334
2012-04,23,15.333333333333334
2012-05,40,17.666666666666668
2012-06,26,18.583333333333332
2012-07,40,20.833333333333332
2012-08,37,22.5
2012-09,27,23.416666666666668
2012-10,35,24.833333333333332
2012-11,47,28.083333333333332
2012-12,42,29.666666666666668
2013-01,37,31.833333333333332
2013-02,45,34.75
2013-03,49,37.333333333333336
2013-04,59,40.333333333333336
2013-05,49,41.083333333333336
2013-06,37,42.0
2013-07,44,42.333333333333336
2013-08,47,43.166666666666664
2013-09,41,44.333333333333336
2013-10,51,45.666666666666664
2013-11,56,46.416666666666664
2013-12,60,47.916666666666664
2014-01,90,52.333333333333336
2014-02,81,55.333333333333336
2014-03,97,59.333333333333336
2014-04,85,61.5
2014-05,138,68.91666666666667
2014-06,105,74.58333333333333
2014-07,93,78.66666666666667
2014-08,96,82.75
2014-09,95,87.25
2014-10,115,92.58333333333333
2014-11,122,98.08333333333333
2014-12,104,101.75
2015-01,154,107.08333333333333
2015-02,125,110.75
2015-03,142,114.5
2015-04,126,117.91666666666667
2015-05,158,119.58333333333333
2015-06,160,124.16666666666667
2015-07,153,129.16666666666666
2015-08,149,133.58333333333334
2015-09,123,135.91666666666666
2015-10,153,139.08333333333334
2015-11,146,141.08333333333334
2015-12,127,143.0
2016-01,177,144.91666666666666
2016-02,162,148.0
2016-03,129,146.91666666666666
2016-04,206,153.58333333333334
2016-05,163,154.0
2016-06,191,156.58333333333334
2016-07,161,157.25
2016-08,180,159.83333333333334
2016-09,212,167.25
2016-10,155,167.41666666666666
2016-11,190,171.08333333333334
2016-12,153,173.25
2017-01,190,174.33333333333334
2017-02,172,175.16666666666666
2017-03,196,180.75
2017-04,167,177.5
2017-05,204,180.91666666666666
2017-06,181,180.08333333333334
2017-07,158,179.83333333333334
2017-08,163,178.41666666666666
2017-09,155,173.66666666666666
2017-10,169,174.83333333333334
2017-11,153,171.75
2017-12,134,170.16666666666666
2018-01,176,169.0
2018-02,133,165.75
2018-03,138,160.91666666666666
2018-04,129,157.75
2018-05,91,148.33333333333334
2018-06,117,143.0
2018-07,128,140.5
2018-08,109,136.0
2018-09,103,131.66666666666666
2018-10,132,128.58333333333334
2018-11,127,126.41666666666667
2018-12,98,123.41666666666667
2019-01,97,116.83333333333333
2019-02,110,114.91666666666667
2019-03,75,109.66666666666667
2019-04,125,109.33333333333333
2019-05,132,112.75
2019-06,98,111.16666666666667
2019-07,93,108.25
2019-08,92,106.83333333333333
2019-09,94,106.08333333333333
2019-10,106,103.91666666666667
2019-11,91,100.91666666666667
2019-12,93,100.5
2020-01,92,100.08333333333333
2020-02,85,98.0
2020-03,130,102.58333333333333
2020-04,117,101.91666666666667
2020-05,82,97.75
2020-06,93,97.33333333333333
2020-07,73,95.66666666666667
2020-08,77,94.41666666666667
2020-09,69,92.33333333333333
2020-10,64,88.83333333333333
2020-11,63,86.5
2020-12,47,82.66666666666667
2021-01,64,80.33333333333333
2021-02,55,77.83333333333333
2021-03,69,72.75
2021-04,40,66.33333333333333
2021-05,56,64.16666666666667
2021-06,48,60.416666666666664
2021-07,45,58.083333333333336
2021-08,35,54.583333333333336
2021-09,50,53.0
2021-10,52,52.0
2021-11,52,51.083333333333336
2021-12,58,52.0
2022-01,54,51.166666666666664
2022-02,59,51.5
2022-03,72,51.75
2022-04,54,52.916666666666664
2022-05,58,53.083333333333336
2022-06,48,53.083333333333336
2022-07,46,53.166666666666664
2022-08,48,54.25
2022-09,32,52.75
2022-10,56,53.083333333333336
2022-11,49,52.833333333333336
2022-12,37,51.083333333333336
2023-01,58,51.416666666666664
2023-02,51,50.75
2023-03,37,47.833333333333336
2023-04,35,46.25
2023-05,44,45.083333333333336
2023-06,42,44.583333333333336
2023-07,26,42.916666666666664
2023-08,33,41.666666666666664
2023-09,32,41.666666666666664
2023-10,46,40.833333333333336
2023-11,45,40.5
2023-12,21,39.166666666666664
2024-01,20,36.0
2024-02,36,34.75
2024-03,33,34.416666666666664
2024-04,34,34.333333333333336
2024-05,31,33.25
2024-06,19,31.333333333333332
2024-07,17,30.583333333333332
2024-08,30,30.333333333333332
2024-09,21,29.416666666666668
2024-10,26,27.75
2024-11,27,26.25
2024-12,11,25.416666666666668
